,zero,one,two,three,four,five,six,seven,eight,nine,nums,chars,upper,lower,special,strength
0,1,1,0,0,0,0,0,1,2,1,6,3,0,3,0,1
1,0,0,1,1,3,1,1,0,0,0,7,5,0,5,0,1
2,0,1,0,1,0,0,0,0,0,0,2,7,0,7,0,1
3,3,0,0,0,0,0,1,0,0,0,4,18,0,18,1,2
4,0,0,0,1,2,0,0,0,0,0,3,5,0,5,0,1
5,1,1,1,1,0,0,3,1,0,0,8,1,0,1,0,1
6,0,0,0,1,0,0,0,0,1,1,3,5,0,5,0,1
7,1,1,0,0,0,0,0,0,1,0,3,12,9,3,0,2
8,1,0,0,0,0,0,0,0,0,1,2,6,0,6,0,1
9,1,2,1,0,0,1,0,1,0,0,6,3,0,3,0,1
10,1,1,0,1,0,0,0,0,0,1,4,6,0,6,0,1
11,0,0,2,0,0,0,0,0,0,0,2,6,0,6,0,1
12,0,0,1,1,0,3,0,1,0,1,7,3,0,3,0,1
13,2,0,1,0,0,1,0,0,0,0,4,4,0,4,0,1
14,0,1,0,1,0,0,0,0,1,0,3,11,2,9,0,2
15,0,2,2,1,3,0,0,0,1,1,10,2,0,2,0,1
16,0,0,0,0,0,1,0,0,1,1,3,7,0,7,0,1
17,0,1,1,1,0,0,0,0,0,0,3,6,0,6,0,1
18,0,0,0,0,0,0,0,0,2,0,2,7,0,7,0,1
19,0,0,0,1,0,0,0,1,0,1,3,6,0,6,0,1
20,0,0,0,0,0,1,0,0,0,0,1,6,0,6,0,0
21,1,1,0,0,0,0,0,1,0,0,3,5,0,5,0,1
22,0,1,1,1,0,0,0,0,0,0,3,9,0,9,0,1
23,0,0,0,0,0,0,1,1,0,1,3,6,0,6,0,1
24,0,0,0,1,0,0,0,0,0,0,1,9,0,9,0,1
25,0,0,0,1,0,1,0,0,1,0,3,5,0,5,0,1
26,1,1,0,1,0,0,0,0,1,0,4,12,8,4,0,2
27,2,0,0,0,0,0,0,1,0,0,3,7,0,7,0,1
28,1,3,0,2,1,1,0,0,1,1,10,2,0,2,0,1
29,0,1,1,1,0,0,0,0,0,0,3,11,6,5,0,2
